Agency,Neighborhood,Price,link,sq_mtrs,Bedrooms,Bathrooms
Unique Casles Management Ltd,"Zimmerman, Zimmermann, Roysambu","KSh 15,000",/listings/2-bedroom-apartment-for-rent-zimmermann-3461223,2,2,1
Estate Masters Limited,"MUCHATHA- NATIONAL OIL, Ruaka, Kiambaa","KSh 16,000",/listings/2-bedroom-apartment-for-rent-ruaka-3467205,2,2,2
Wainaina Real Estate Agents,"Kasarani Area, Kasarani","KSh 16,000",/listings/1-bedroom-apartment-for-rent-kasarani-area-3415982,1,1,1
Havilaplus Estates Ltd,"Along Kikuyu Road, Uthiru/Ruthimitu, Dagoretti South","KSh 16,000",/listings/2-bedroom-apartment-for-rent-uthiru-ruthimitu-1-3444736,2,2,1
Ngong Hills Agency,"Ngong, Kajiado North","KSh 16,000",/listings/1-bedroom-apartment-for-rent-ngong-3456497,1,1,1
Estate Masters Limited,"Kahigu Road-Ruaka, Ruaka, Kiambaa","KSh 16,000",/listings/1-bedroom-apartment-for-rent-ruaka-3427657,1,1,1
Chelezo Residency,"Kindaruma Road, Kilimani, Dagoretti North","KSh 98,000",/listings/3-bedroom-apartment-for-rent-kilimani-3466790,3,3,3
Origin Homes,"General Mathenge, Westlands","KSh 200,000",/listings/furnished-3-bedroom-apartment-for-rent-general-mathenge-3462729,3,3,3
Opus Properties,"Seasons, Kasarani Area, Kasarani","KSh 16,000",/listings/1-bedroom-apartment-for-rent-kasarani-area-3404337,1,1,1
Cfs Homes,"Ruaka, Kiambaa","KSh 16,000",/listings/1-bedroom-apartment-for-rent-ruaka-3441968,1,1,
Pmc Estates Limited,"Athi River Area, Athi River","KSh 17,000",/listings/1-bedroom-apartment-for-rent-athi-river-area-3444988,1,1,
Canaan Properties,"Sub zone, Ngong","KSh 17,000",/listings/1-bedroom-apartment-for-rent-sub-zone-3464379,1,1,1
Estate Masters Limited,"SLAUGHTER, Ruaka, Kiambaa","KSh 17,000",/listings/2-bedroom-apartment-for-rent-ruaka-3467203,2,2,2
Estate Masters Limited,"Ruaka, Kiambaa","KSh 17,000",/listings/2-bedroom-apartment-for-rent-ruaka-3384067,2,2,2
Havilaplus Estates Ltd,"Oloolua Rd, Ngong, Kajiado North","KSh 17,000",/listings/2-bedroom-apartment-for-rent-ngong-1-3427703,2,2,
Unique Casles Management Ltd,"Imara Daima, Embakasi","KSh 17,500",/listings/1-bedroom-apartment-for-rent-imara-daima-2-3459107,1,1,
Estate Masters Limited,"Ruaka-Banana, Ruaka, Kiambaa","KSh 18,000",/listings/2-bedroom-apartment-for-rent-ruaka-3395165,2,2,2
Kitheka Musyoka,"Bombolulu, Mombasa malindi road, Nyali Area, Nyali","KSh 18,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3467651,1,1,1
Havilaplus Estates Ltd,"THOGOTO, Kikuyu Town, Kikuyu","KSh 18,000",/listings/1-bedroom-apartment-for-rent-kikuyu-town-1-3453671,1,1,1
Kimachas Enterprises,"Shanzu serena, Serena, Nyali Area, Nyali","KSh 19,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3463332,180,1,1
The Epic Properties,"Getathuru, Kitisuru, Westlands","KSh 20,000",/listings/1-bedroom-apartment-for-rent-kitisuru-3388870,1,1,
Westside Real Estate,"Ndwaru, Riruta, Dagoretti South","KSh 20,000",/listings/1-bedroom-apartment-for-rent-riruta-3432639,2023,1,1
Wainaina Real Estate Agents,"Kasarani - Mwiki Rd, Kasarani Area, Kasarani","KSh 20,000",/listings/2-bedroom-apartment-for-rent-kasarani-area-2-3454780,2,2,
Tysons Limited,"Kilimani, Dagoretti North","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-1-3392821,2,2,2
Crystal Valuers Ltd,"Arwings Kodheck, Kilimani, Dagoretti North","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3463126,125,2,2
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 20,000",/listings/1-bedroom-apartment-for-rent-ruaka-3417160,4000,1,1
Sunland Real Estates Limited,"BYPASS, EASTERN BYPASS, Ruiru, Ruiru","KSh 20,000",/listings/2-bedroom-apartment-for-rent-ruiru-3466084,2,2,2
Homekenya24,"Ruaka, Kiambaa","KSh 20,000",/listings/1-bedroom-apartment-for-rent-ruaka-3468465,1,1,1
Kimachas Enterprises,"50, 3rd avenue nyali, Nyali Area, Nyali","KSh 20,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3462968,200,1,1
Estate Masters Limited,"RUMENYE, Ruaka, Kiambaa","KSh 20,000",/listings/2-bedroom-apartment-for-rent-ruaka-3467201,2,2,2
Kitheka Musyoka,"links road, BEACH ROAD, Nyali Area, Nyali","KSh 20,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3467460,1200,1,1
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 20,000",/listings/1-bedroom-apartment-for-rent-ruaka-3417159,4000,1,1
Pmc Estates Limited,"Ongata Rongai, Kajiado North","KSh 20,000",/listings/2-bedroom-apartment-for-rent-ongata-rongai-3442461,2,2,
Cmt Realtors,"Kisumu Central Area, Kisumu Central","KSh 20,000",/listings/2-bedroom-apartment-for-rent-kisumu-central-area-3464680,2,2,2
Havilaplus Estates Ltd,"Kikuyu Town, Kikuyu","KSh 22,000",/listings/2-bedroom-apartment-for-rent-kikuyu-town-3465046,2,2,2
Havilaplus Estates Ltd,"Gravilla Estate, Kabete Area, Kabete","KSh 22,000",/listings/2-bedroom-apartment-for-rent-kabete-area-3438087,2,2,1
Havilaplus Estates Ltd,"Ngong, Kajiado North","KSh 22,000",/listings/2-bedroom-apartment-for-rent-ngong-3447578,2,2,1
Sema Estate Agents,"Riverside, Westlands","KSh 280,000",/listings/3-bedroom-apartment-for-rent-riverside-3464730,3,3,
Havilaplus Estates Ltd,"THOGOTO, Kikuyu Town, Kikuyu","KSh 18,000",/listings/1-bedroom-apartment-for-rent-kikuyu-town-1-3453671,1,1,1
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 23,000",/listings/1-bedroom-apartment-for-rent-ruaka-1-3405401,4000,1,1
Cmt Realtors,"Kisumu Central Area, Kisumu Central","KSh 23,000",/listings/2-bedroom-apartment-for-rent-kisumu-central-area-3464687,2,2,2
Havilaplus Estates Ltd,"Utawala, Embakasi","KSh 24,000",/listings/2-bedroom-apartment-for-rent-utawala-3461218,2,2,2
Realty Plus,"Nairobi West, Langata","KSh 24,000",/listings/studio-apartment-for-rent-nairobi-west-2-3430087,,,
Kitheka Musyoka,"Vok, New Malindi Mombasa road, Frere Town, Nyali","KSh 24,000",/listings/2-bedroom-apartment-for-rent-frere-town-3467648,2,2,2
Opus Properties,"Garissa Road, Thika, Thika","KSh 25,000",/listings/3-bedroom-apartment-for-rent-thika-3404270,3,3,2
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 25,000",/listings/2-bedroom-apartment-for-rent-ruaka-3404774,4000,2,
Homekenya24,"Ruaka, Kiambaa","KSh 25,000",/listings/1-bedroom-apartment-for-rent-ruaka-3468005,1,1,1
Civic Capital,"Imara Daima, Embakasi","KSh 25,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3436557,2,2,2
Havilaplus Estates Ltd,"Thogoto -DAVAN APARTMENT, Thogoto, Kikuyu Town, Kikuyu","KSh 25,000",/listings/2-bedroom-apartment-for-rent-kikuyu-town-1-3453666,2,2,2
Sunland Real Estates Limited,"NGONG ROAD, NGONG ROAD, Dagoretti Corner, Dagoretti South","KSh 25,000",/listings/2-bedroom-apartment-for-rent-dagoretti-corner-3466237,2,2,1
Furaha Properties,"Nyali Area, Nyali","KSh 25,000",/listings/2-bedroom-apartment-for-rent-nyali-area-3413037,2,2,
Cfs Homes,"Ruaka, Kiambaa","KSh 25,000",/listings/1-bedroom-apartment-for-rent-ruaka-1-3445641,1,1,
Pc Properties Real Estate Agency,"Makueni Rd, Kileleshwa, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3466159,3,3,3
Cfs Homes,"Ruaka, Kiambaa","KSh 25,000",/listings/1-bedroom-apartment-for-rent-ruaka-1-3445641,1,1,
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 25,000",/listings/1-bedroom-apartment-for-rent-ruaka-3458642,1012,1,1
Sunland Real Estates Limited,"BYPASS, NORTHERN BYPASS, Ruiru, Ruiru","KSh 25,000",/listings/2-bedroom-apartment-for-rent-ruiru-3466085,2,2,1
Mazz Prestines,"Garden Estate, Garden Estate, Roysambu","KSh 26,000",/listings/1-bedroom-apartment-for-rent-garden-estate-3407196,1,1,
Habitat Realtors International Ltd,"Ngumo Central, Ngumo Estate, Langata","KSh 27,000",/listings/1-bedroom-apartment-for-rent-ngumo-estate-3461812,18,1,1
Canaan Properties,"Ruaka, Kiambaa","KSh 28,000",/listings/2-bedroom-apartment-for-rent-ruaka-3429937,2,2,2
Civic Capital,"Syokimau, Athi River","KSh 28,000",/listings/2-bedroom-apartment-for-rent-syokimau-3467458,2,2,2
Kitheka Musyoka,"links road, links road, Nyali Area, Nyali","KSh 28,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3380313,100,1,1
Axis Assets Limited,"Kikuyu Town, Kikuyu","KSh 28,000",/listings/2-bedroom-apartment-for-rent-kikuyu-town-3415097,2,2,2
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 28,000",/listings/2-bedroom-apartment-for-rent-ruaka-3417302,4047,2,2
Sunland Real Estates Limited,"MOMBASA ROAD, Mombasa Road, Mombasa Road","KSh 28,000",/listings/2-bedroom-apartment-for-rent-3466236,2,2,2
Kimachas Enterprises,"Links road, Links road, Ziwa La Ngombe, Nyali","KSh 28,000",/listings/2-bedroom-apartment-for-rent-ziwa-la-ngombe-3466228,200,2,2
Tuvilani Ventures Enterprice,"Nyali beach road, Nyali beach road, Nyali Area, Nyali","KSh 28,000",/listings/2-bedroom-apartment-for-rent-nyali-area-3465773,120,2,2
Civic Capital,"Syokimau, Athi River","KSh 28,000",/listings/2-bedroom-apartment-for-rent-syokimau-3464445,2,2,2
Westside Real Estate,"Muringa Road, Kilimani, Dagoretti North","KSh 200,000",/listings/5-bedroom-apartment-for-rent-kilimani-3432720,240,5,5
Axis Assets Limited,"Limuru Road, Ruaka, Kiambaa","KSh 28,000",/listings/2-bedroom-apartment-for-rent-ruaka-3-3453022,2,2,2
Impeller Projects Ltd,"Kisumu West, Kisumu West","KSh 30,000",/listings/furnished-1-bedroom-apartment-for-rent-kisumu-west-3447680,1,1,1
Habitat Realtors International Ltd,"Thindigua, Tsavo Apartments, Kiambu Road, Kiambu Road","KSh 30,000",/listings/2-bedroom-apartment-for-rent-kiambu-road-3461807,35,2,1
Symonns Realty,"Phase 2, Thika East, Thika East","KSh 30,000",/listings/2-bedroom-apartment-for-rent-1-3459721,9,2,2
Ric Realtors,"Karen, Karen, Langata","KSh 30,000",/listings/furnished-1-bedroom-apartment-for-rent-karen-1-3392388,1,1,1
Kaisa Ventures Kenya Limited,"Kileleshwa, Dagoretti North","KSh 30,000",/listings/studio-apartment-for-rent-kileleshwa-3463516,0,0,
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 30,000",/listings/2-bedroom-apartment-for-rent-ruaka-3404432,125,2,2
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 30,000",/listings/2-bedroom-apartment-for-rent-ruaka-3417298,2,2,2
Crowne Estates,"3rd, 3rd avenue, Parklands, Westlands","KSh 30,000",/listings/1-bedroom-apartment-for-rent-parklands-3460806,1,1,1
Kimachas Enterprises,"Links road, Links road, Ziwa La Ngombe, Nyali","KSh 30,000",/listings/3-bedroom-apartment-for-rent-ziwa-la-ngombe-3467754,2500,3,3
Benford Homes,"mtwapa, Mtwapa, Kilifi South","KSh 30,000",/listings/2-bedroom-apartment-for-rent-mtwapa-3464136,1012,2,3
Yellow Market,"NA, Racecourse, Ngong Road, Ngong Road","KSh 30,000",/listings/1-bedroom-apartment-for-rent-3460658,1,1,1
Almond Estate,"New Kitusuru, Westlands","KSh 30,000",/listings/2-bedroom-apartment-for-rent-new-kitusuru-3466905,2,2,
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 30,000",/listings/1-bedroom-apartment-for-rent-ruaka-3436916,6071,1,1
Fitsher Homes Ltd,"Syokimau, Athi River","KSh 30,000",/listings/3-bedroom-apartment-for-rent-syokimau-3466750,3,3,2
Eden Height Realty,"Thigiri, Westlands","KSh 175,000",/listings/2-bedroom-apartment-for-rent-thigiri-3464770,150,2,2
Washington Homes Kenya,"Riverside Drive, Riverside, Westlands","KSh 145,000",/listings/3-bedroom-apartment-for-rent-riverside-3468376,3,3,5
Fitsher Homes Ltd,"Mombasa Road, Mombasa Road","KSh 30,000",/listings/2-bedroom-apartment-for-rent-3466784,2,2,2
Home Care Estates Ltd,"Maziwa rd, Imara Daima, Embakasi","KSh 30,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3464377,2,2,2
Trisums Investments Company Limited,"Mwimuto, Kiambu Town, Kiambu Town","KSh 30,000",/listings/2-bedroom-apartment-for-rent-3466525,2,2,2
Homekenya24,"Ruaka, Kiambaa","KSh 32,000",/listings/2-bedroom-apartment-for-rent-ruaka-3464193,2,2,2
Shingles Kenya Limited,"Ngong Rd, Ngong Road, Ngong Road","KSh 32,000",/listings/1-bedroom-apartment-for-rent-3429978,1,1,1
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 32,500",/listings/2-bedroom-apartment-for-rent-ruaka-3454806,3035,2,2
Habitat Realtors International Ltd,"Five Star Gardens, 5 Star Gardens Off Airport View Road, Syokimau, Athi River","KSh 33,000",/listings/3-bedroom-apartment-for-rent-syokimau-3461752,105,3,2
Home Care Estates Ltd,"Near Watakatifu Centre, Kahara Road, Ngong, Kajiado North","KSh 33,000",/listings/3-bedroom-apartment-for-rent-ngong-3463788,3,3,2
Springtide Properties Limited,"Kisumu Road, Eldoret North, Eldoret North","KSh 33,500",/listings/3-bedroom-apartment-for-rent-3463930,3,3,3
Swiveltrend Ltd,"Ruaka, Kiambaa","KSh 35,000",/listings/studio-apartment-for-rent-ruaka-1-3417150,125,,
Edlon Group Limited,"Kiamumbi, Windsor, Kiambu Constituency","KSh 35,000",/listings/2-bedroom-apartment-for-rent-windsor-3461510,2,2,3
Realty Plus,"Nairobi West, Langata","KSh 35,000",/listings/furnished-studio-apartment-for-rent-nairobi-west-1-3430085,,,
Range Wide Properties,"Kileleshwa, Dagoretti North","KSh 35,000",/listings/1-bedroom-apartment-for-rent-kileleshwa-3457610,1,1,
El Roi Properties,"Kiambu Road, Kiambu Road","KSh 35,000",/listings/1-bedroom-apartment-for-rent-3435334,120,1,1
Avic International,"Laikipia Road, Kileleshwa, Dagoretti North","KSh 130,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3437687,2,2,2
Malazo Realtors,"Migaa, Kiambu Road, Kiambu Road","KSh 35,000",/listings/1-bedroom-apartment-for-rent-kiambu-road-43612,80,1,1
Pmc Estates Limited,"Imara Daima, Embakasi","KSh 35,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3459615,2,2,
Pmm Properties,"Beijing Road, Off Mombasa Road, Syokimau, Athi River","KSh 35,000",/listings/3-bedroom-apartment-for-rent-syokimau-3468341,3,3,2
Civic Capital,"Imara Daima, Embakasi","KSh 35,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3399033,2,2,2
Visions Place,"Lower Kabete, Westlands","KSh 35,000",/listings/2-bedroom-apartment-for-rent-lower-kabete-3466256,300,2,2
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 35,000",/listings/2-bedroom-apartment-for-rent-ruaka-3423559,130,2,2
Regent Management Ltd,"Kahawa Sukari, Roysambu","KSh 35,000",/listings/2-bedroom-apartment-for-rent-kahawa-sukari-3464576,2,2,2
Habitat Realtors International Ltd,"Langata Area, Langata","KSh 35,000",/listings/2-bedroom-apartment-for-rent-langata-area-3466931,55,2,1
Kimachas Enterprises,"Mamba village, Off links road, Nyali Area, Nyali","KSh 35,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3463432,2500,3,2
Prince Classic Homes,"Imara Daima, Embakasi","KSh 35,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3466018,2,2,2
Ever Forgarden ,"Denis Pritt, Kilimani, Dagoretti North","KSh 35,000",/listings/studio-apartment-for-rent-kilimani-3467107,0,0,
Cyham Properties,"BEIJING ROAD, Syokimau, Athi River","KSh 35,000",/listings/3-bedroom-apartment-for-rent-syokimau-3461552,3,3,2
Pmm Properties,"Nyayo Estate, Baraka/Nyayo, Embakasi","KSh 35,000",/listings/3-bedroom-apartment-for-rent-baraka-nyayo-3468007,3,3,2
Casapiu Holdings Limited,"Syokimau, Athi River","KSh 35,000",/listings/3-bedroom-apartment-for-rent-syokimau-3465227,3,3,3
Buy Rent Shelters,"Dennis Pritt, Lavington, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-lavington-3468359,250,3,3
Green Knight Properties,"Lenana road, Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467123,3,3,3
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 35,000",/listings/2-bedroom-apartment-for-rent-ruaka-3417152,125,2,1
Real Management Services 2002Limited,"1, Chambers, Ngara, Starehe","KSh 35,000",/listings/2-bedroom-apartment-for-rent-ngara-1-1711,186,2,
Kimachas Enterprises,"Mkomani, Mkomani, Mkomani, Nyali","KSh 35,000",/listings/2-bedroom-apartment-for-rent-mkomani-3463056,2000,2,2
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 35,000",/listings/1-bedroom-apartment-for-rent-westlands-area-3462829,2000,1,1
Mazz Prestines,"Garden Estate, Roysambu","KSh 35,000",/listings/2-bedroom-apartment-for-rent-garden-estate-2-3414215,2,2,
Civic Capital,"Syokimau, Athi River","KSh 35,000",/listings/3-bedroom-apartment-for-rent-syokimau-3467435,3,3,2
Habitat Realtors International Ltd,"Tatu City, Unity West, Ruiru, Ruiru","KSh 35,750",/listings/2-bedroom-apartment-for-rent-3466889,85,2,2
Buy Rent Shelters,"Gacharage, Ruaka, Kiambaa","KSh 37,000",/listings/2-bedroom-apartment-for-rent-ruaka-3466210,2,2,2
Apogee Realty Homes,"Hellen Drive, Ruaka, Kiambaa","KSh 38,000",/listings/2-bedroom-apartment-for-rent-ruaka-3466914,2,2,2
Axis Assets Limited,"Ruaka, Kiambaa","KSh 38,000",/listings/2-bedroom-apartment-for-rent-ruaka-3442218,2,2,2
Tussy Realtors,"Thiong'o, Mountain View, Westlands","KSh 38,000",/listings/2-bedroom-apartment-for-rent-mountain-view-3468602,2,2,2
Royani Properties Limited,"Next To Uthiru Genesis Boarding School, Kinoo, Kabete","KSh 38,000",/listings/3-bedroom-apartment-for-rent-kinoo-3431440,3,3,2
Habitat Realtors International Ltd,"Ruaka Joyland, Limuru Road, Ruaka, Kiambaa","KSh 38,000",/listings/2-bedroom-apartment-for-rent-ruaka-3461818,45,2,2
Azizi Realtors,"Ruaka, Kiambaa","KSh 38,000",/listings/3-bedroom-apartment-for-rent-ruaka-3449460,3,3,2
Real Management Services 2002Limited,"Riverside Drive, Riverside, Westlands","KSh 38,000",/listings/2-bedroom-apartment-for-rent-riverside-3417902,2,2,1
Serene Valley Apartments,"Kiambere Road, Upper Hill, Langata","KSh 240,000",/listings/furnished-3-bedroom-apartment-for-rent-upper-hill-3467705,3,3,2
Citiscape Valuers And Estate Agents Ltd,"kikambala road, Kileleshwa, Dagoretti North","KSh 85,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3465642,3,3,3
Homeowners Eye,"Masaba Road, Upper Hill, Langata","KSh 38,000",/listings/1-bedroom-apartment-for-rent-upper-hill-3468468,1,1,1
Axis Assets Limited,"Ruaka, Kiambaa","KSh 38,000",/listings/2-bedroom-apartment-for-rent-ruaka-1-3436835,2,2,2
Civic Capital,"Mbagathi way, Ngumo Estate, Langata","KSh 39,000",/listings/2-bedroom-apartment-for-rent-ngumo-estate-3467345,2,2,1
Swiveltrend Ltd,"Limuru road, Ruaka, Kiambaa","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-3461177,12000,2,2
Expo Properties,"Maloi Apartments, Masai Lodge Road, Ongata Rongai, Kajiado North","KSh 40,000",/listings/3-bedroom-apartment-for-rent-ongata-rongai-3386080,120,3,2
Kimachas Enterprises,"Next to premier hospital, Links road, Nyali Area, Nyali","KSh 40,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3463033,2500,3,3
Kimachas Enterprises,"Links road, Links road, Nyali Area, Nyali","KSh 40,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3466227,2500,3,3
Yellow Market,"Naivasha Road, Naivasha Road, Dagoretti North","KSh 40,000",/listings/1-bedroom-apartment-for-rent-naivasha-road-1-3456400,1,1,1
Buy Rent Shelters,"Gacharage, Ruaka, Kiambaa","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-1-3454598,2,2,2
Wealthlink Realtors Ltd,"Ngara, Starehe","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ngara-3466537,2,2,2
Civic Capital,"Ole Sangale, Madaraka, Langata","KSh 40,000",/listings/3-bedroom-apartment-for-rent-madaraka-3409236,3,3,1
Kitheka Musyoka,"beach road, Nyali Area, Nyali","KSh 40,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3467466,2500,3,2
Phillavilla,"Naivasha Road, Dagoretti North","KSh 40,000",/listings/2-bedroom-apartment-for-rent-naivasha-road-2-3456087,2,2,2
Swiveltrend Ltd,"kiambu road, Thindigua, Thindigua","KSh 40,000",/listings/2-bedroom-apartment-for-rent-3464276,2,2,2
Swiveltrend Ltd,"kiambu road, Thindigua, Thindigua","KSh 40,000",/listings/2-bedroom-apartment-for-rent-3464276,2,2,2
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 40,000",/listings/1-bedroom-apartment-for-rent-kilimani-3468512,1,1,1
Apricotsolutions Limited,"Parklands, Westlands","KSh 40,000",/listings/3-bedroom-apartment-for-rent-parklands-3458725,3,3,1
Naftal Properties,"Naivasha Road, Dagoretti North","KSh 40,000",/listings/2-bedroom-apartment-for-rent-naivasha-road-3467576,2,2,
Rescom Ventures Ltd,"Kamiti, Kiambaa","KSh 40,000",/listings/2-bedroom-apartment-for-rent-kamiti-1-3425766,90,2,2
Mazz Prestines,"Thika Road, Thika Road","KSh 40,000",/listings/2-bedroom-apartment-for-rent-3414224,2,2,
Civic Capital,"Madaraka, Langata","KSh 40,000",/listings/2-bedroom-apartment-for-rent-madaraka-3467455,2,2,1
Kingslink Ventures,"Precious Gardens Estate, Riruta, Dagoretti South","KSh 40,000",/listings/3-bedroom-apartment-for-rent-riruta-3440872,51,3,
Axis Assets Limited,"Ruaka, Kiambaa","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-3430614,100,2,2
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-3404434,4000,2,2
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-3417266,2,2,2
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 40,000",/listings/3-bedroom-apartment-for-rent-ruaka-3417293,3,3,2
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa","KSh 40,000",/listings/3-bedroom-apartment-for-rent-ruaka-3447664,2024,3,2
Landmark Realtors Ltd,"Makadara, Makadara","KSh 40,000",/listings/2-bedroom-apartment-for-rent-3465045,2,2,1
